,y,y_test
240,3,0
241,0,6
242,0,4
243,7,4
244,2,0
245,3,4
246,3,4
247,6,4
248,6,0
249,7,4
250,0,6
251,7,0
252,7,4
253,2,0
254,2,0
255,0,0
256,4,0
257,4,3
258,2,0
259,7,4
260,7,4
261,7,4
262,2,0
263,7,4
264,0,4
265,4,6
266,4,4
267,3,4
268,3,4
269,7,4
270,4,3
271,4,4
272,7,4
273,7,0
274,7,4
275,7,0
276,7,0
277,7,4
278,6,0
279,6,4
280,7,4
281,0,4
282,4,6
283,7,4
284,3,6
285,4,6
286,0,4
287,3,6
288,4,4
289,3,0
290,2,0
291,7,4
292,0,3
293,3,6
294,7,4
295,7,4
296,7,4
297,2,0
298,7,4
299,7,4
300,5,6
301,0,0
302,2,0
303,4,3
304,2,0
305,7,4
306,4,4
307,0,0
308,0,0
309,2,0
310,2,6
311,3,4
312,7,4
313,7,4
314,5,6
315,4,0
316,7,4
317,4,4
318,6,4
319,0,4
320,2,0
321,2,0
322,2,0
323,7,4
324,2,4
325,6,3
326,7,4
327,7,4
328,4,0
329,3,0
330,2,6
331,0,0
332,7,4
333,4,6
334,2,0
335,0,4
336,6,4
337,2,4
338,3,4
339,7,4
340,2,4
341,7,4
342,7,4
343,7,4
344,4,6
345,4,0
346,3,6
347,3,0
348,3,4
349,7,4
350,6,4
351,4,0
352,2,0
353,0,4
354,7,4
355,7,4
356,2,0
357,0,0
358,7,4
359,7,4
360,0,0
361,2,6
362,2,0
363,6,6
364,7,4
365,3,6
366,7,4
367,3,4
368,2,0
369,7,4
370,7,4
371,6,4
372,3,6
373,2,4
374,7,4
375,7,0
376,2,0
377,7,4
378,6,0
379,4,4
380,6,4
381,0,4
382,6,0
383,0,4
384,7,4
385,7,4
386,0,6
387,4,4
388,0,6
389,7,4
390,3,0
391,3,0
392,2,0
393,7,4
394,3,4
395,3,4
396,7,4
397,4,0
398,2,0
399,7,4
400,8,6
401,6,4
402,4,4
403,4,4
404,4,4
405,3,0
406,0,3
407,7,0
408,7,4
409,4,0
410,7,4
411,0,0
412,6,4
413,4,3
414,0,0
415,7,4
416,3,4
417,2,0
418,7,4
419,2,0
420,2,0
421,2,0
422,5,6
423,3,4
424,3,4
425,4,4
426,3,6
427,7,4
428,3,4
429,6,4
430,0,4
431,5,6
432,3,4
433,6,6
434,7,4
435,2,0
436,3,0
437,7,4
438,2,0
439,7,0
440,4,6
441,0,4
442,2,4
443,2,4
444,2,0
445,2,4
446,6,4
447,7,4
448,7,4
449,7,4
450,7,0
451,2,0
452,7,0
453,2,0
454,4,6
455,7,4
456,0,6
457,2,0
458,7,4
459,2,0
460,0,0
461,0,0
462,4,0
463,7,0
464,3,6
465,3,4
466,4,4
467,3,6
468,3,6
469,7,0
470,5,6
471,7,4
472,2,0
473,4,3
474,2,0
475,7,0
476,2,0
477,4,0
478,4,0
479,2,0
480,7,4
481,0,6
482,4,6
483,2,0
484,7,4
485,7,4
486,2,0
487,0,0
488,0,4
489,5,6
490,7,4
491,7,0
492,2,0
493,7,4
494,2,0
495,0,4
496,2,4
497,4,6
498,3,4
499,7,4
500,6,4
501,4,6
502,4,4
503,2,0
504,6,3
505,2,0
506,0,0
507,5,6
508,7,4
509,7,4
510,7,0
511,7,0
512,4,0
513,2,0
514,7,4
515,4,0
516,0,3
517,4,6
518,2,0
519,7,4
520,4,0
521,7,4
522,7,4
523,4,4
524,5,0
525,5,6
526,0,4
527,7,4
528,4,4
529,7,0
530,3,6
531,3,4
532,0,6
533,6,4
534,7,4
535,6,4
536,7,4
537,5,6
538,2,0
539,6,3
540,4,0
541,0,3
542,7,4
543,0,4
544,6,4
545,7,4
546,4,0
547,7,4
548,7,4
549,8,0
550,4,0
551,7,4
552,5,4
553,7,4
554,6,4
555,7,4
556,7,0
557,7,4
558,4,0
559,5,6
560,2,0
561,5,6
562,2,0
563,7,4
564,3,0
565,7,4
566,0,3
567,2,4
568,3,6
569,3,4
570,4,3
571,0,4
572,7,4
573,7,4
574,0,4
575,2,6
576,0,0
577,0,4
578,3,4
579,7,0
580,2,0
581,2,0
582,7,0
583,3,6
584,4,0
585,4,6
586,3,4
587,7,0
588,7,4
589,4,4
590,2,0
591,3,4
592,3,4
593,2,0
594,7,4
595,7,4
596,0,4
597,4,6
598,7,4
599,2,0
600,2,0
601,2,0
602,7,0
603,7,0
604,7,4
605,4,6
606,2,0
607,3,6
608,7,4
609,0,4
610,7,0
611,0,3
612,7,4
613,7,4
614,3,0
615,3,0
616,4,0
617,7,4
618,0,4
619,4,6
620,7,4
621,0,4
622,7,4
623,0,0
624,7,4
625,3,6
626,0,0
627,4,4
628,7,4
629,7,4
630,2,6
631,7,4
632,3,0
633,6,0
634,7,0
635,7,0
636,2,0
637,7,4
638,7,0
639,2,0
640,3,6
641,2,0
642,3,4
643,6,4
644,0,3
645,4,0
646,7,0
647,4,0
648,7,0
649,0,6
650,3,0
651,0,4
652,7,4
653,7,4
654,4,3
655,6,4
656,6,0
657,3,6
658,3,4
659,7,4
660,7,4
661,7,4
662,2,0
663,6,4
664,7,4
665,2,4
666,6,4
667,4,4
668,4,6
669,7,4
670,6,0
671,4,0
672,7,4
673,2,0
674,5,6
675,7,4
676,6,4
677,0,0
678,6,0
679,2,0
680,0,3
681,6,4
682,2,0
683,3,6
684,7,4
685,0,0
686,6,0
687,7,4
688,0,0
689,7,0
690,3,4
691,7,4
692,4,4
693,7,4
694,0,4
695,4,0
696,2,0
697,3,6
698,2,0
699,4,6
700,6,0
701,6,4
702,4,0
703,5,4
704,7,4
705,7,0
706,7,4
707,3,4
708,7,0
709,2,6
710,4,6
711,2,0
712,7,0
713,4,4
714,6,4
715,7,4
716,7,4
717,4,4
718,7,4
719,7,4
720,7,4
721,7,4
722,3,4
723,7,4
724,2,0
725,2,0
726,2,0
727,7,4
728,5,6
729,2,0
730,2,0
731,4,0
732,2,0
733,4,3
734,8,6
735,7,4
736,7,4
737,4,6
738,0,4
739,7,0
740,7,0
741,4,0
742,2,0
743,7,4
744,6,4
745,7,0
746,0,4
747,7,4
748,7,4
749,0,4
750,3,4
751,7,4
752,0,0
753,7,4
754,7,4
755,4,4
756,4,0
757,7,4
758,7,0
759,2,0
760,5,6
761,4,0
762,3,6
763,4,6
764,7,0
765,2,0
766,7,4
767,7,4
768,0,3
769,3,6
770,0,4
771,7,4
772,0,4
773,2,0
774,2,0
775,4,6
776,7,0
777,7,4
778,0,0
779,7,0
780,8,0
781,2,0
782,7,4
783,7,0
784,4,3
785,2,0
786,7,4
787,7,0
788,3,4
789,3,4
790,7,4
791,3,4
792,6,3
793,0,4
794,7,4
795,7,4
796,4,6
797,7,4
798,6,4
799,0,4
800,2,0
801,7,0
802,4,4
803,2,0
804,6,0
805,4,0
806,7,4
807,2,0
808,7,4
809,7,4
810,6,3
811,0,4
812,4,0
813,4,0
814,0,4
815,2,0
816,0,3
817,3,4
818,3,4
819,4,0
820,7,0
821,0,3
822,4,4
823,2,0
824,7,4
825,7,4
826,0,3
827,7,4
828,6,4
829,7,4
830,4,6
831,7,4
832,7,4
833,7,0
834,7,4
835,7,4
836,7,4
837,7,4
838,7,4
839,7,4
840,2,6
841,5,6
842,7,4
843,7,4
844,7,0
845,7,4
846,0,0
847,4,0
848,4,0
849,3,0
850,2,0
851,4,4
852,7,4
853,2,0
854,3,6
855,6,4
856,7,4
857,7,4
858,6,6
859,3,4
860,3,4
861,3,6
862,7,0
863,2,0
864,6,0
865,7,0
866,7,4
867,6,6
868,7,4
869,5,6
870,0,4
871,0,4
872,7,0
873,4,0
874,7,0
875,4,0
876,7,4
877,2,0
878,6,6
879,4,3
880,4,4
881,7,4
882,0,4
883,7,4
884,2,0
885,3,6
886,6,0
887,2,0
888,6,4
889,4,0
890,2,0
891,7,4
892,4,3
893,7,4
894,7,4
895,2,0
896,7,4
897,6,4
898,7,4
899,3,6
900,4,6
901,7,4
902,2,4
903,0,4
904,5,6
905,7,0
906,0,0
907,2,0
908,4,0
909,2,0
910,7,4
911,7,4
912,4,0
913,7,4
914,7,4
915,4,4
916,8,6
917,7,4
918,7,4
919,7,4
920,6,3
921,2,0
922,5,6
923,3,6
924,4,0
925,6,4
926,7,4
927,3,4
928,7,4
929,7,0
930,2,4
931,7,0
932,7,4
933,0,4
934,2,0
935,2,0
936,6,4
937,2,6
938,7,0
939,7,4
940,7,4
941,7,6
942,3,4
943,0,0
944,7,4
945,7,0
946,2,0
947,2,0
948,3,0
949,7,4
950,0,4
951,7,4
952,0,0
953,0,4
954,0,4
955,7,4
956,7,0
957,0,0
958,0,4
959,7,4
960,6,0
961,7,4
962,4,6
963,0,3
964,4,6
965,3,4
966,2,0
967,2,0
968,0,4
969,0,0
970,0,4
971,0,4
972,7,4
973,2,0
974,7,4
975,7,4
976,2,0
977,7,4
978,7,4
979,2,0
980,7,0
981,6,0
982,2,0
983,7,0
984,2,6
985,2,0
986,4,6
987,4,0
988,7,0
989,2,0
990,7,4
991,0,0
992,7,4
993,3,4
994,2,0
995,5,6
996,3,4
997,2,0
998,0,6
999,7,0
1000,0,4
1001,7,4
1002,7,0
1003,3,6
1004,6,3
1005,2,0
1006,4,0
1007,7,4
1008,7,4
1009,0,6
1010,5,4
1011,4,4
1012,7,4
1013,0,0
1014,7,4
1015,0,4
1016,7,0
1017,7,4
1018,7,4
1019,7,4
1020,4,0
1021,7,4
1022,2,0
1023,0,4
1024,7,4
1025,2,0
1026,2,0
1027,0,0
1028,6,4
1029,0,4
1030,6,6
1031,0,0
1032,7,4
1033,2,0
1034,0,3
1035,2,0
1036,2,0
1037,7,4
1038,7,0
1039,3,4
1040,2,4
1041,4,0
1042,7,0
1043,7,4
1044,2,0
1045,7,0
1046,4,0
1047,4,4
1048,7,4
1049,4,6
1050,4,6
1051,4,0
1052,3,4
1053,0,4
1054,2,0
1055,4,6
1056,4,4
1057,4,4
1058,4,4
1059,7,4
1060,0,0
1061,2,6
1062,7,0
1063,3,0
1064,7,4
1065,4,0
1066,4,4
1067,7,4
1068,7,4
1069,3,4
1070,6,4
1071,7,0
1072,0,3
1073,7,4
1074,7,4
1075,5,6
1076,7,4
1077,7,0
1078,3,6
1079,7,4
1080,4,4
1081,7,0
1082,2,0
1083,0,0
1084,4,0
1085,7,4
1086,4,0
1087,4,4
1088,7,0
1089,2,0
1090,4,0
1091,7,4
1092,8,6
1093,2,6
1094,2,0
1095,7,4
1096,2,0
1097,4,6
1098,4,6
1099,2,0
1100,0,0
1101,4,0
1102,4,0
1103,4,4
1104,3,6
1105,4,6
1106,7,4
1107,3,6
1108,7,4
1109,7,4
1110,0,3
1111,3,0
1112,7,4
1113,0,0
1114,2,4
1115,7,4
1116,2,6
1117,6,4
1118,6,4
1119,6,4
1120,0,4
1121,7,4
1122,7,4
1123,4,0
1124,7,4
1125,0,4
1126,2,0
1127,2,0
1128,0,4
1129,2,0
1130,6,4
1131,0,0
1132,4,6
1133,0,4
1134,7,4
1135,6,4
1136,3,4
1137,7,4
1138,2,6
1139,3,4
1140,4,0
1141,7,4
1142,0,0
1143,0,0
1144,0,4
1145,7,4
1146,0,3
1147,7,0
1148,2,0
1149,7,4
1150,4,4
1151,4,6
1152,4,6
1153,7,4
1154,4,0
1155,4,0
1156,7,4
1157,4,4
1158,7,4
1159,7,4
1160,3,0
1161,7,4
1162,4,3
1163,0,4
1164,7,4
1165,4,4
1166,0,0
1167,2,0
1168,4,0
1169,4,6
1170,7,4
1171,5,6
1172,4,0
1173,7,4
1174,7,4
1175,0,4
1176,2,6
1177,2,0
1178,7,0
1179,6,4
1180,0,4
1181,2,0
1182,2,0
1183,4,6
1184,2,0
1185,3,6
1186,4,6
1187,7,4
1188,0,0
1189,2,0
1190,4,4
1191,7,4
1192,6,4
1193,2,0
1194,7,4
1195,4,0
1196,4,0
1197,4,0
1198,6,0
1199,7,4
1200,7,4
1201,6,0
1202,7,4
1203,7,0
1204,0,0
1205,4,0
1206,3,0
1207,7,4
1208,7,4
1209,4,4
1210,7,4
1211,4,6
1212,3,6
1213,7,0
1214,4,0
1215,4,4
1216,4,4
1217,4,0
1218,3,4
1219,0,3
1220,5,6
1221,2,0
1222,7,0
1223,7,4
1224,7,4
1225,3,0
1226,6,0
1227,7,4
1228,2,0
1229,7,0
1230,3,6
1231,3,4
1232,3,0
1233,7,0
1234,4,6
1235,0,0
1236,7,4
1237,7,4
1238,7,0
1239,0,4
1240,0,4
1241,7,4
1242,7,4
1243,7,4
1244,0,4
1245,7,4
1246,7,4
1247,6,4
1248,7,4
1249,4,4
1250,7,4
1251,0,0
1252,4,0
1253,7,4
1254,0,0
1255,2,0
1256,7,4
1257,7,4
1258,7,4
1259,3,4
1260,7,4
1261,3,6
1262,6,4
1263,7,4
1264,5,6
1265,0,4
1266,7,4
1267,0,4
1268,2,0
1269,7,4
1270,7,4
1271,4,4
1272,7,4
1273,6,0
1274,3,4
1275,2,0
1276,2,0
1277,5,4
1278,2,0
1279,4,4
1280,7,4
1281,4,6
1282,0,4
1283,6,0
1284,2,0
1285,4,3
1286,3,6
1287,2,0
1288,2,0
1289,8,6
1290,4,0
1291,0,0
1292,7,4
1293,0,0
1294,7,4
1295,7,4
1296,0,4
1297,4,0
1298,7,4
1299,0,4
1300,7,4
1301,4,6
1302,7,4
1303,2,0
1304,7,0
1305,7,4
1306,3,4
1307,4,0
1308,7,4
1309,2,0
1310,4,0
1311,4,4
1312,0,0
1313,7,0
1314,2,0
1315,6,4
1316,2,4
1317,7,4
1318,7,4
1319,7,4
1320,5,6
1321,0,3
1322,5,6
1323,7,4
1324,4,6
1325,4,0
1326,7,4
1327,4,0
1328,4,0
1329,7,4
1330,3,6
1331,7,0
1332,7,0
1333,7,4
1334,7,4
1335,6,4
1336,2,0
1337,3,4
1338,4,0
1339,2,4
1340,4,4
1341,4,0
1342,4,0
1343,7,4
1344,7,4
1345,7,4
1346,2,0
1347,2,0
1348,7,4
1349,4,6
1350,3,4
1351,0,4
1352,7,4
1353,7,0
1354,4,0
1355,7,0
1356,2,0
1357,0,0
1358,2,0
1359,7,4
1360,7,4
1361,3,4
1362,7,4
1363,6,4
1364,7,4
1365,7,4
1366,2,0
1367,0,0
1368,7,4
1369,4,4
1370,7,4
1371,3,6
1372,4,0
1373,0,0
1374,4,0
1375,4,6
1376,7,4
1377,7,4
1378,2,0
1379,7,4
1380,7,0
1381,4,0
1382,6,4
1383,7,4
1384,7,4
1385,7,0
1386,6,6
1387,2,0
1388,7,4
1389,3,4
1390,7,4
1391,2,0
1392,1,0
1393,7,4
1394,5,0
1395,1,3
1396,7,4
1397,6,3
1398,2,6
1399,0,0
1400,7,4
1401,6,4
1402,1,0
1403,3,6
1404,8,0
1405,1,3
1406,6,4
1407,7,4
1408,7,4
1409,1,0
1410,2,6
1411,7,0
1412,1,0
1413,6,4
1414,5,6
1415,0,6
1416,4,6
1417,1,0
1418,3,3
1419,5,6
1420,1,0
1421,6,3
1422,2,6
1423,1,0
1424,6,4
1425,2,0
1426,0,4
1427,6,3
1428,0,6
1429,4,4
1430,6,4
1431,1,0
1432,0,4
1433,5,0
1434,4,6
1435,4,6
1436,5,0
1437,3,6
1438,3,6
1439,1,3
1440,6,4
1441,4,6
1442,5,6
1443,1,0
1444,1,0
1445,7,4
1446,3,3
1447,3,6
1448,6,0
1449,1,0
1450,1,0
1451,6,6
1452,7,0
1453,2,0
1454,2,6
1455,1,0
1456,2,0
1457,1,0
1458,7,0
1459,5,6
1460,4,6
1461,5,6
1462,6,4
1463,5,0
1464,5,6
1465,3,4
1466,6,6
1467,1,0
1468,2,0
1469,6,4
1470,3,3
1471,1,0
1472,1,0
1473,1,0
1474,5,6
1475,4,6
1476,1,0
1477,3,6
1478,1,0
1479,2,0
1480,1,0
1481,5,6
1482,2,0
1483,0,6
1484,1,0
1485,6,4
1486,0,0
1487,6,3
1488,5,3
1489,5,6
1490,2,0
1491,3,0
1492,1,0
1493,3,3
1494,5,0
1495,1,0
1496,3,6
1497,2,6
1498,7,0
1499,3,6
1500,2,6
1501,6,0
1502,5,6
1503,6,3
1504,6,3
1505,3,6
1506,4,6
1507,2,6
1508,8,6
1509,1,0
1510,5,6
1511,0,0
1512,0,3
1513,6,3
1514,1,3
1515,3,6
1516,7,0
1517,1,0
1518,1,3
1519,1,0
1520,4,0
1521,7,0
1522,3,0
1523,3,0
1524,5,6
1525,5,0
1526,0,0
1527,0,4
1528,4,4
1529,3,6
1530,2,6
1531,0,0
1532,1,0
1533,0,4
1534,1,0
1535,5,0
1536,2,0
1537,2,6
1538,6,0
1539,7,6
1540,7,0
1541,4,0
1542,6,6
1543,6,3
1544,7,0
1545,4,0
1546,1,3
1547,6,3
1548,7,0
1549,5,6
1550,1,6
1551,6,3
1552,1,0
1553,5,6
1554,1,0
1555,3,0
1556,7,6
1557,3,6
1558,5,6
1559,1,0
1560,5,6
1561,4,4
1562,1,0
1563,1,3
1564,1,0
1565,8,6
1566,1,0
1567,4,6
1568,1,0
1569,2,6
1570,4,3
1571,3,3
1572,6,3
1573,0,0
1574,5,6
1575,1,3
1576,1,0
1577,3,3
1578,1,6
1579,1,0
1580,4,3
1581,6,4
1582,5,6
1583,1,0
1584,1,0
1585,5,6
1586,1,0
1587,2,6
1588,5,6
1589,4,4
1590,2,0
1591,1,0
1592,4,6
1593,6,0
1594,3,6
1595,1,0
1596,3,0
1597,2,0
1598,5,6
1599,1,3
1600,4,0
1601,6,4
1602,6,3
1603,2,0
1604,5,6
1605,3,6
1606,2,6
1607,6,3
1608,5,6
1609,0,4
1610,1,0
1611,1,6
1612,6,0
1613,4,6
1614,0,6
1615,1,3
1616,1,3
1617,5,3
1618,1,3
1619,1,0
1620,5,6
1621,5,6
1622,5,6
1623,2,0
1624,4,3
1625,1,0
1626,3,6
1627,5,6
1628,5,0
1629,0,6
1630,1,3
1631,7,4
1632,6,6
1633,0,4
1634,4,6
1635,4,4
1636,3,6
1637,3,0
1638,4,4
1639,1,0
1640,1,3
1641,6,4
1642,4,3
1643,4,0
1644,1,0
1645,4,0
1646,4,4
1647,7,6
1648,1,0
1649,0,0
1650,0,4
1651,2,6
1652,0,4
1653,4,3
1654,1,0
1655,6,4
1656,7,0
1657,5,6
1658,3,0
1659,4,6
1660,0,0
1661,5,4
1662,2,6
1663,3,6
1664,1,0
1665,0,4
1666,2,0
1667,4,0
1668,4,4
1669,7,0
1670,1,0
1671,1,0
1672,7,4
1673,7,0
1674,1,3
1675,6,4
1676,6,4
1677,4,0
1678,6,0
1679,1,6
1680,1,0
1681,4,0
1682,4,4
1683,2,6
1684,1,0
1685,7,6
1686,7,0
1687,1,6
1688,5,6
1689,0,0
1690,2,6
1691,1,3
1692,1,3
1693,1,0
1694,3,4
1695,4,0
1696,4,6
1697,4,0
1698,6,0
1699,3,3
1700,1,0
1701,5,6
1702,6,3
1703,6,6
1704,1,0
1705,7,4
1706,3,6
1707,3,6
1708,0,4
1709,2,0
1710,4,6
1711,0,0
1712,1,3
1713,3,6
1714,2,0
1715,1,0
1716,6,0
1717,1,0
1718,2,6
1719,2,6
1720,3,6
1721,0,6
1722,3,6
1723,7,4
1724,1,0
1725,4,6
1726,2,0
1727,3,6
1728,3,0
1729,5,6
1730,0,3
1731,3,3
1732,1,0
1733,1,0
1734,2,0
1735,1,0
1736,1,3
1737,5,6
1738,3,4
1739,5,3
1740,7,4
1741,5,6
1742,7,0
1743,1,0
1744,3,4
1745,2,6
1746,1,3
1747,3,6
1748,6,6
1749,1,0
1750,5,0
1751,6,4
1752,1,6
1753,7,4
1754,0,4
1755,2,6
1756,8,6
1757,1,6
1758,0,6
1759,1,0
1760,4,0
1761,7,0
1762,6,4
1763,1,0
1764,4,4
1765,1,0
1766,0,0
1767,4,0
1768,4,6
1769,6,0
1770,4,6
1771,1,0
1772,0,6
1773,1,0
1774,1,0
1775,2,6
1776,1,0
1777,1,0
1778,0,6
1779,6,6
1780,3,3
1781,1,0
1782,0,0
1783,6,3
1784,2,6
1785,5,6
1786,1,0
1787,5,6
1788,7,4
1789,7,4
1790,6,4
1791,4,0
1792,8,3
1793,1,0
1794,1,0
1795,6,3
1796,1,0
1797,1,0
1798,1,0
1799,5,6
1800,1,3
1801,0,0
1802,2,6
1803,3,3
1804,1,6
1805,1,0
1806,5,0
1807,1,0
1808,4,6
1809,3,3
1810,1,3
1811,6,3
1812,5,6
1813,1,3
1814,4,0
1815,4,6
1816,3,3
1817,2,6
1818,4,4
1819,2,6
1820,0,0
1821,1,0
1822,1,0
1823,1,3
1824,0,6
1825,3,6
1826,2,0
1827,7,0
1828,1,0
1829,4,6
1830,1,0
1831,7,0
1832,1,0
1833,1,0
1834,1,0
1835,2,6
1836,2,6
1837,2,6
1838,6,4
1839,6,0
1840,0,6
1841,4,0
1842,4,0
1843,1,3
1844,1,3
1845,6,6
1846,5,0
1847,2,6
1848,5,6
1849,1,0
1850,3,0
1851,2,0
1852,2,6
1853,3,6
1854,3,4
1855,7,4
1856,7,0
1857,1,0
1858,6,3
1859,2,6
1860,4,6
1861,5,6
1862,1,0
1863,6,4
1864,5,6
1865,5,6
1866,1,0
1867,7,4
1868,0,6
1869,1,0
1870,0,0
1871,1,0
1872,2,6
1873,2,6
1874,5,0
1875,0,0
1876,8,6
1877,4,3
1878,5,6
1879,5,6
1880,4,3
1881,5,3
1882,7,0
1883,1,0
1884,3,0
1885,5,6
1886,1,0
1887,7,0
1888,1,0
1889,1,0
1890,7,0
1891,5,6
1892,1,0
1893,5,6
1894,3,0
1895,6,6
1896,0,3
1897,7,6
1898,0,0
1899,3,6
1900,5,6
1901,5,6
1902,8,0
1903,3,6
1904,5,0
1905,1,0
1906,1,6
1907,4,6
1908,4,4
1909,2,6
1910,0,4
1911,4,4
1912,2,6
1913,7,4
1914,7,4
1915,2,0
1916,5,0
1917,6,3
1918,1,3
1919,6,4
1920,2,6
1921,7,0
1922,5,6
1923,6,4
1924,7,0
1925,6,4
1926,6,4
1927,4,6
1928,1,0
1929,6,3
1930,0,3
1931,1,0
1932,5,4
1933,2,6
1934,5,6
1935,6,4
1936,5,0
1937,7,4
1938,5,6
1939,4,4
1940,1,3
1941,0,3
1942,4,0
1943,2,6
1944,0,6
1945,1,0
1946,4,4
1947,6,4
1948,1,0
1949,5,6
1950,5,6
1951,6,3
1952,5,6
1953,2,6
1954,6,0
1955,6,4
1956,1,0
1957,5,6
1958,4,6
1959,4,3
1960,6,6
1961,3,6
1962,6,4
1963,1,3
1964,2,6
1965,4,6
1966,2,0
1967,3,6
1968,1,3
1969,2,6
1970,1,3
1971,1,0
1972,2,6
1973,6,3
1974,1,0
1975,4,0
1976,5,0
1977,4,6
1978,1,0
1979,1,0
1980,1,0
1981,2,6
1982,1,3
1983,0,0
1984,3,0
1985,7,0
1986,6,3
1987,4,0
1988,3,6
1989,2,6
1990,2,0
1991,5,6
1992,6,4
1993,5,0
1994,1,3
1995,1,0
1996,2,6
1997,5,6
1998,1,0
1999,3,0
2000,4,6
2001,7,0
2002,3,0
2003,3,3
2004,3,3
2005,4,4
2006,7,0
2007,2,0
2008,2,6
2009,1,0
2010,5,4
2011,1,6
2012,1,0
2013,6,6
2014,1,0
2015,6,4
2016,1,0
2017,6,3
2018,7,4
2019,5,6
2020,5,6
2021,5,6
2022,1,3
2023,3,3
2024,4,0
2025,4,0
2026,5,6
2027,1,0
2028,1,0
2029,1,0
2030,3,3
2031,6,0
2032,3,6
2033,6,6
2034,1,0
2035,1,0
2036,1,0
2037,2,0
2038,1,3
2039,3,6
2040,7,0
2041,7,0
2042,1,0
2043,1,0
2044,4,6
2045,4,4
2046,7,4
2047,3,6
2048,2,6
2049,4,6
2050,1,0
2051,4,0
2052,1,0
2053,1,3
2054,4,0
2055,2,6
2056,1,0
2057,4,0
2058,1,0
2059,7,6
2060,3,3
2061,6,4
2062,4,3
2063,0,0
2064,1,0
2065,0,4
2066,0,0
2067,2,6
2068,1,0
2069,1,0
2070,2,6
2071,3,6
2072,7,4
2073,2,6
2074,6,3
2075,6,4
2076,1,0
2077,6,4
2078,6,3
2079,3,3
2080,1,0
2081,3,0
2082,5,6
2083,1,6
2084,2,0
2085,5,6
2086,5,6
2087,0,6
2088,3,3
2089,7,0
2090,1,0
2091,2,0
2092,1,0
2093,6,4
2094,2,6
2095,6,3
2096,1,0
2097,1,0
2098,3,6
2099,0,3
2100,0,0
2101,1,0
2102,3,0
2103,0,6
2104,1,0
2105,4,0
2106,1,3
2107,5,0
2108,3,6
2109,1,0
2110,1,0
2111,2,6
2112,0,4
2113,6,6
2114,3,6
2115,6,4
2116,3,3
2117,6,4
2118,4,0
2119,7,0
2120,5,0
2121,4,6
2122,4,6
2123,1,0
2124,5,6
2125,6,4
2126,3,6
2127,3,3
2128,5,6
2129,6,6
2130,0,4
2131,0,3
2132,5,0
2133,6,4
2134,1,0
2135,1,0
2136,1,0
2137,5,6
2138,6,3
2139,1,0
